time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
26:06.0,51,-197,-145,188,-23,-248,351,6,-249,458,-294,-172
26:06.4,47,-200,-142,186,-24,-253,357,5,-243,454,-295,-171
26:06.8,45,-197,-152,192,-24,-248,355,5,-240,452,-292,-181
26:07.2,51,-199,-145,189,-24,-245,350,5,-247,457,-293,-174
26:07.7,49,-198,-140,185,-24,-253,356,6,-242,457,-295,-169
26:08.1,45,-200,-150,189,-23,-251,357,6,-238,451,-295,-173
26:08.5,49,-198,-148,192,-24,-243,351,5,-242,454,-294,-176
26:08.9,51,-197,-140,186,-23,-248,354,7,-244,458,-295,-168
26:09.4,47,-198,-144,188,-24,-252,359,8,-238,453,-295,-169
26:09.8,47,-197,-149,192,-23,-246,353,6,-243,453,-293,-178
26:10.2,52,-198,-145,188,-24,-245,352,7,-248,459,-294,-173
26:10.6,48,-199,-143,186,-23,-251,357,7,-241,457,-294,-167
